reactant_a,reactant_b,combination_type,primary_product_formula,primary_product_name,balanced_equation,state_at_stp,conditions,facts,common_misconception,confidence
Be,La,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Ce,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Pr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Nd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Pm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Sm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Eu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Gd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Tb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Dy,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Ho,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Er,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Tm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Yb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Lu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Hf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Ta,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,W,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Re,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Os,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Ir,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Pt,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Au,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Hg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Tl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Pb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Bi,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Po,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,At,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Rn,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Radon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
Be,Fr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Ra,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Ac,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Th,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Pa,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,U,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Np,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Pu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Am,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Cm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Bk,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Cf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Es,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Fm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Md,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,No,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Lr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Rf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Db,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Sg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Bh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Hs,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Mt,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Ds,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Rg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Cn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Nh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Fl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Mc,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Lv,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Ts,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
Be,Og,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Oganesson is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
B,C,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,N,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,O,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,F,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ne,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Neon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
B,Na,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Mg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Al,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Si,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,P,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,S,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Cl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ar,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Argon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
B,K,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ca,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Sc,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ti,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,V,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Cr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Mn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Fe,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Co,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ni,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Cu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Zn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ga,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ge,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,As,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Se,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Br,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Kr,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Krypton is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
B,Rb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Sr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Y,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Zr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Nb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Mo,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Tc,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ru,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Rh,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Pd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ag,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Cd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,In,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Sn,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Sb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Te,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,I,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Xe,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Xenon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
B,Cs,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ba,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,La,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ce,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Pr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Nd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Pm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Sm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Eu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Gd,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Tb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Dy,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ho,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Er,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Tm,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Yb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Lu,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Hf,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ta,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,W,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Re,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Os,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ir,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Pt,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Au,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Hg,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Tl,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Pb,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Bi,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Po,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,At,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Rn,no_reaction,,No reaction,,none,No chemical bonding under normal conditions,Radon is a noble gas; typically only physical mixing.,Do not expect every pair of elements to form a compound.,high
B,Fr,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
B,Ra,multiple_possible,,Multiple possible products,,varies,"Depends on temperature, catalysts, and ratios",A single pair of elements can form different compounds (or none) depending on conditions.,Not every pair has a single simple formula (especially with variable oxidation states).,low
